"filename", "language", "JavaScript", "CSS", "JavaScript React", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\contracts\NFT.sol\NFT.json", "JSON", 0, 0, 0, 0, 0, 465, 0, 0, 465
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\hardhat\console.sol\console.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\hardhat\console.sol\console.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 1, 11
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\functions\config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\index.css", "CSS", 0, 162, 0, 0, 0, 0, 5, 16, 183
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 6, 3, 23
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\polyfills.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 349, 169, 10749, 84, 65, 177634, 780, 713, 190543
